JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460356.385153,8.913,0.496,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.211,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.386110,6.881,0.097,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.198,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.386110,7.868,0.017,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.198,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.386110,8.794,0.404,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.198,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.387121,6.987,0.132,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.184,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.387121,7.967,0.034,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.184,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.387121,8.864,0.511,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.184,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.388444,6.927,0.072,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.167,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.388444,7.884,0.034,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.167,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.388444,8.879,0.619,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.167,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460356.83238,8.455,0.079,,V,LBEC,,ENSEMBLE,,X35918AH,W88 SLOOH.COM CHILE OBSERVATORY; 0.43-M F/6.8 CORRECTED DALL-KIRKHAM|VMAGINS=-11.086,0,1.679,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460356.83304,7.144,0.149,,R,LBEC,,ENSEMBLE,,X35918AH,W88 SLOOH.COM CHILE OBSERVATORY; 0.43-M F/6.8 CORRECTED DALL-KIRKHAM|VMAGINS=-12.292,0,1.672,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460356.83350,5.958,0.263,,I,LBEC,,ENSEMBLE,,X35918AH,W88 SLOOH.COM CHILE OBSERVATORY; 0.43-M F/6.8 CORRECTED DALL-KIRKHAM|VMAGINS=-12.349,0,1.668,Z,,,,V1723 SCO,AAVSO,STD,,,,
2460356.8444,8.429,0.002,,TG,PYG,,79,,AAVSO X35918BG,SLOOH CHILE,0,,Z,7.90,,,V1723 SCO,BAA-VSS,STD,,,,
2460356.85556,8.5,,,Vis.,PWMA,,79,86,X35946GG,,,,Z,,,,v1723,AAVSO,STD,,,,
2460357.19669,8.30,0.02,,V,NLX,,Ensemble,127,X36229AEA,PSF removal applied to nearby bright star. Mag med sum 3 measures,0,2.11,Z,,12.80,,V1723 Sco,AAVSO,STD,,,,
2460357.19824,9.47,0.02,,B,NLX,,Ensemble,127,X36229AEA,PSF subtraction applied to nearby bright star. Mag med sum 3 measures,0,2.08,Z,,13.30,,V1723 Sco,AAVSO,STD,,,,
2460357.26172,7.155,0.222,,R,KROB,,ENSEMBLE,86,X36049LK,V1723 SCO|OBSERVAT=ITELESCOPE T08 SSO|KDEC=-38.0746944444444|KMAGINS=-8.841|KMAGSTD=8.388|KRA=262.022083333333|KREFERR=0.050|KREFMAG=8.344|VMAGINS=-10.074,0,1.372,Z,,8.388,,V1723,BAV,STD,,,,
2460357.28450,9.676,0.009,,B,YBA,,121,115,X35973FN,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.10976|CMAGINS=-7.369|CRA=261.55666|CREFERR=0.099|CREFMAG=12.652|KDEC=-38.15485|KMAGINS=-7.916|KMAGSTD=12.104|KRA=261.52723|KREFERR=0.104|KREFMAG=12.104|VMAGINS=-10.344,0,2.080,Z,-7.369,-7.916,,V1723 SCO,AAVSO,STD,,,,
2460357.28499,8.628,0.020,,V,YBA,,ENSEMBLE,115,X35973FO,|OBSERVAT=PERTH OBSERVATORY|KDEC=-38.15498|KMAGINS=-8.991|KMAGSTD=11.468|KRA=261.52716|KREFERR=0.021|KREFMAG=11.521|VMAGINS=-11.831,0,2.069,Z,,11.468,,V1723 SCO,AAVSO,STD,,,,
2460357.28536,7.459,0.004,,R,YBA,,111A,115A_1,240218,|OBSERVAT=PERTH OBSERVATORY|CDEC=-38.21743|CMAGINS=-9.721|CRA=261.62659|CREFERR=0.165|CREFMAG=10.482|KDEC=-38.19731|KMAGINS=-9.153|KMAGSTD=11.050|KRA=261.58204|KREFERR=0.241|KREFMAG=10.901|VMAGINS=-12.744,0,2.062,Z,-9.721,-9.153,,V1723 SCO,AAVSO,STD,,,,
2460357.29639,9.698,0.002,,B,PEX,,000-BPV-402,000-BPV-401,X35907J,|CDEC=-38.15503|CMAGINS=-8.418|CRA=261.52763|CREFERR=0.104|CREFMAG=12.104|CX=1.8972|KDEC=-38.10998|KMAGINS=-7.918|KMAGSTD=12.604|KMAGTRAN=12.596|KRA=261.55703|KREFERR=0.099|KREFMAG=12.652|KX=1.8991|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TB_BV=0.0590|TB_BVERR=0.0330|VERR=0.002|VMAGINS=-10.856|VMAGSTD=9.666|VX=1.8991,1,1.889,Z,-8.418,-7.918,,V1723 SCO,AAVSO,STD,0101,,,
2460357.29681,8.572,0.001,,V,PEX,,000-BPV-402,000-BPV-401,X35907J,|CDEC=-38.15503|CMAGINS=-9.359|CRA=261.52763|CREFERR=0.021|CREFMAG=11.521|CX=1.8912|KDEC=-38.10998|KMAGINS=-8.736|KMAGSTD=12.144|KMAGTRAN=12.147|KRA=261.55703|KREFERR=0.044|KREFMAG=12.141|KX=1.8931|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TV_BV=-0.0250|TV_BVERR=0.0210|VERR=0.001|VMAGINS=-12.294|VMAGSTD=8.586|VX=1.8930,1,1.883,Z,-9.359,-8.736,,V1723 SCO,AAVSO,STD,0101,,,
2460357.29719,7.255,0.006,,R,PEX,,000-BPV-402,000-BPV-401,X35947HJ,|CDEC=-38.1551666666667|CMAGINS=-9.544|CRA=261.527791666667|CREFERR=0.222|CREFMAG=10.996|CX=1.8858|KDEC=-38.1100555555556|KMAGINS=-8.884|KMAGSTD=11.656|KMAGTRAN=11.650|KRA=261.557208333333|KREFERR=0.219|KREFMAG=11.677|KX=1.8877|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TR_RI=0.0550|TR_RIERR=0.1800|VERR=0.006|VMAGINS=-13.336|VMAGSTD=7.204|VX=1.8876,1,1.877,Z,-9.544,-8.884,,V1723 SCO,AAVSO,STD,101,,,
2460357.29758,5.832,0.018,,I,PEX,,000-BPV-402,000-BPV-401,X35947HJ,|CDEC=-38.1551666666667|CMAGINS=-8.244|CRA=261.527791666667|CREFERR=0.301|CREFMAG=10.506|CX=1.8803|KDEC=-38.1100555555556|KMAGINS=-7.476|KMAGSTD=11.274|KMAGTRAN=11.270|KRA=261.557208333333|KREFERR=0.295|KREFMAG=11.243|KX=1.8822|OBSERVAT=PERTH OBSERVATORY|TAVER=2.60|TRI=1.0150|TRIERR=0.0650|VERR=0.016|VMAGINS=-12.956|VMAGSTD=5.794|VX=1.8821,1,1.872,Z,-8.244,-7.476,,V1723 SCO,AAVSO,STD,101,,,
2460357.301484,9.0966,0.1096,,TB,BDJB,,ENSEMBLE,000-BPV-379,X35899K,CANON 1100D; 100MM; ISO 100; F2.0; 10 SEC X 16 IMAGES MEDIAN STACKED IN GROUPS OF 4,0,1.280,Z,,-11.5780,,N SCO 2024,ASSAU,STD,,,,
2460357.301484,8.5008,0.0402,,TG,BDJB,,ENSEMBLE,000-BPV-379,X35899K,CANON 1100D; 100MM; ISO 100; F2.0; 10 SEC X 16 IMAGES MEDIAN STACKED IN GROUPS OF 4,0,1.280,Z,,-11.6880,,N SCO 2024,ASSAU,STD,,,,
